names,population,state_code,lat,lon
abaschin,,81,49.9833333,12.75
abertamy,,81,50.3666667,12.8166667
abertham,,81,50.3666667,12.8166667
abtsdorf,,86,49.8333333,16.5
abtsroth,,81,50.25,12.4166667
adamov,,30,49.8666667,15.4166667
adamov,4951,78,49.3166667,16.6666667
adamov,,79,49.0,14.55
adamov,,84,50.2,17.0166667
adamov,,85,50.1333333,17.45
adamsfreiheit,,79,49.05,15.15
adamsthal,,78,49.3166667,16.6666667
adamsthal,,84,50.2,17.0166667
adamsthal,,85,50.1333333,17.45
adelsdorf,,84,50.2,17.2
adersbach,,70,50.6166667,16.1
adler-kosteletz,,82,50.1333333,16.2333333
adlerova hut,,79,48.9333333,13.7166667
adolfov,,89,50.7333333,13.9
adolfovice,,84,50.2,17.2
adolfsgrun,,89,50.7333333,13.9
adrspach,,70,50.6166667,16.1
ahnikov,,89,50.4333333,13.3166667
ahorn,,79,48.8,14.2666667
ahornhutte,,79,48.6666667,14.6833333
ahrendorf,,89,50.4333333,13.2333333
aich,,81,50.2,12.8166667
aichelburk,,30,50.1333333,14.9666667
aichen,,84,49.8,17.1333333
alber,,79,49.0333333,15.1333333
alberice,,81,50.1666667,13.1666667
alberitz,,88,50.1166667,13.3833333
albern,,79,49.0333333,15.1333333
albernhof,,81,50.2166667,12.7
alberov,,81,50.2166667,12.7
alberovice,,80,49.65,15.1
albersdorf,,87,49.7833333,12.5666667
albertice,,33,50.8619444,15.035
albertsthal,,88,50.4666667,14.6
albrechtice,,21,50.75,15.3
albrechtice,4055,33,50.8619444,15.035
albrechtice,,79,49.2,14.1
albrechtice,,80,49.5166667,16.1833333
albrechtice,,85,49.7833333,18.5333333
albrechtice,,86,49.9333333,16.65
albrechtice,,88,49.9,15.1666667
albrechtice,,89,50.55,13.5166667
albrechtice nad orlici,,20,50.15,16.0666667
albrechtice nad vltavou,,79,49.25,14.3
albrechtice u rymarova,,85,49.9166667,17.3333333
albrechtice u susice,,79,49.2,13.5666667
albrechticky,,85,49.7,18.1
albrechtitz,,79,49.25,14.3
albrechtovice,,79,48.9666667,13.9666667
albrechtschlag,,79,48.9666667,13.9666667
albrechtsdorf,,21,50.75,15.3
albrechtsried,,79,49.2,13.5666667
alenina lhota,,79,49.5166667,14.5166667
alexovice,,78,49.0833333,16.35
alfredov,,87,49.6833333,13.0333333
algersdorf,,89,50.6833333,14.3166667
allenkowitz,,90,49.1666667,17.4666667
allerheiligen,,84,49.7666667,16.8833333
allhutten,,84,49.7166667,17.2833333
alodialna ligota,,85,49.7666667,18.6
aloisov,,52,50.1,14.55
alojzov,,84,49.4166667,17.05
alsching,,79,48.7166667,14.3
alsovice,,21,50.6833333,15.2333333
alstadt,,85,50.0166667,17.4333333
